FOOTBALL_DATA;SQUAWKA;TRANSFERMARKT
Augsburg;Augsburg;FC Augsburg
Bayern Munich;Bayern;Bayern München
Dortmund;Dortmund;Bor. Dortmund
Ein Frankfurt;Frankfurt;E. Frankfurt
FC Koln;1. FC Köln;1. FC Köln
Freiburg;Freiburg;SC Freiburg
Hamburg;Hamburg;Hamburger SV
Hannover;Hannover;Hannover 96
Hertha;Hertha BSC;Hertha BSC
Hoffenheim;Hoffenheim;TSG Hoffenheim
Leverkusen;Leverkusen;Bay. Leverkusen
M'gladbach;M'gladbach;Bor. M'gladbach
Mainz;Mainz;1.FSV Mainz 05
RB Leipzig;RB Leipzig;RB Leipzig
Schalke 04;Schalke;FC Schalke 04
Stuttgart;Stuttgart;VfB Stuttgart
Werder Bremen;Werder;Werder Bremen
Wolfsburg;Wolfsburg;VfL Wolfsburg
Fortuna Dusseldorf;Fortuna Düsseldorf;F. Düsseldorf
Nurnberg;1.FC Nürnberg;1.FC Nürnberg
